speed,occ,flow,station_id,timestamp,is_incident,speed_smoothed,occ_smoothed
66.3,0.0186,61.0,312854,2016-11-24 02:45:00,0,66.3,0.0186
65.8,0.0158,50.0,312854,2016-11-24 02:50:00,0,66.225,0.018179999999999998
65.9,0.0247,80.0,312854,2016-11-24 02:55:00,0,66.17625,0.019157999999999998
65.1,0.0164,50.0,312854,2016-11-24 03:00:00,0,66.01481249999999,0.0187443
66.3,0.0186,67.0,312854,2016-11-24 03:05:00,0,66.05759062499999,0.018722654999999998
66.6,0.0201,68.0,312854,2016-11-24 03:10:00,0,66.13895203124999,0.018929256749999998
65.5,0.0198,57.0,312854,2016-11-24 03:15:00,0,66.04310922656248,0.0190598682375
65.5,0.0179,56.0,312854,2016-11-24 03:20:00,0,65.9616428425781,0.018885888001875
65.5,0.017,51.0,312854,2016-11-24 03:25:00,0,65.89239641619139,0.01860300480159375
65.3,0.0184,54.0,312854,2016-11-24 03:30:00,0,65.80353695376267,0.018572554081354685
65.0,0.0224,69.0,312854,2016-11-24 03:35:00,0,65.68300641069827,0.01914667096915148
65.7,0.02,65.0,312854,2016-11-24 03:40:00,0,65.68555544909353,0.019274670323778754
65.9,0.0184,57.0,312854,2016-11-24 03:45:00,0,65.7177221317295,0.01914346977521194
66.1,0.0159,52.0,312854,2016-11-24 03:50:00,0,65.77506381197007,0.01865694930893015
66.5,0.0187,58.0,312854,2016-11-24 03:55:00,0,65.88380424017456,0.01866340691259063
66.2,0.0177,51.0,312854,2016-11-24 04:00:00,0,65.93123360414836,0.018518895875702036
65.4,0.0182,54.0,312854,2016-11-24 04:05:00,0,65.85154856352611,0.01847106149434673
65.7,0.0178,49.0,312854,2016-11-24 04:10:00,0,65.8288162789972,0.018370402270194718
65.4,0.0191,59.0,312854,2016-11-24 04:15:00,0,65.76449383714761,0.01847984192966551
65.2,0.0177,51.0,312854,2016-11-24 04:20:00,0,65.67981976157546,0.018362865640215685
65.6,0.0187,60.0,312854,2016-11-24 04:25:00,0,65.66784679733914,0.018413435794183333
65.3,0.0215,66.0,312854,2016-11-24 04:30:00,0,65.61266977773826,0.018876420425055832
64.7,0.0197,56.0,312854,2016-11-24 04:35:00,0,65.47576931107753,0.018999957361297455
65.0,0.0164,52.0,312854,2016-11-24 04:40:00,0,65.4044039144159,0.018609963757102835
65.0,0.0149,45.0,312854,2016-11-24 04:45:00,0,65.3437433272535,0.01805346919353741
64.8,0.0207,64.0,312854,2016-11-24 04:50:00,0,65.26218182816547,0.018450448814506797
65.2,0.0182,57.0,312854,2016-11-24 04:55:00,0,65.25285455394064,0.018412881492330776
66.1,0.0207,69.0,312854,2016-11-24 05:00:00,0,65.37992637084955,0.01875594926848116
65.3,0.0189,56.0,312854,2016-11-24 05:05:00,0,65.36793741522212,0.018777556878208986
65.5,0.0177,55.0,312854,2016-11-24 05:10:00,0,65.38774680293879,0.018615923346477638
65.8,0.02,65.0,312854,2016-11-24 05:15:00,0,65.44958478249798,0.018823534844505992
65.7,0.0198,64.0,312854,2016-11-24 05:20:00,0,65.48714706512328,0.018970004617830095
65.3,0.0203,62.0,312854,2016-11-24 05:25:00,0,65.45907500535479,0.019169503925155578
65.6,0.0223,69.0,312854,2016-11-24 05:30:00,0,65.48021375455157,0.019639078336382242
65.6,0.0173,53.0,312854,2016-11-24 05:35:00,0,65.49818169136883,0.019288216585924906
64.4,0.0252,78.0,312854,2016-11-24 05:40:00,0,65.3334544376635,0.02017498409803617
65.7,0.0224,78.0,312854,2016-11-24 05:45:00,0,65.38843627201398,0.020508736483330743
65.4,0.0227,77.0,312854,2016-11-24 05:50:00,0,65.39017083121188,0.020837426010831134
66.4,0.0208,72.0,312854,2016-11-24 05:55:00,0,65.54164520653009,0.020831812109206465
65.9,0.0238,83.0,312854,2016-11-24 06:00:00,0,65.59539842555058,0.021277040292825494
65.1,0.0263,86.0,312854,2016-11-24 06:05:00,0,65.521088661718,0.02203048424890167
65.7,0.0217,77.0,312854,2016-11-24 06:10:00,0,65.54792536246029,0.02198091161156642
66.3,0.0241,90.0,312854,2016-11-24 06:15:00,0,65.66073655809124,0.022298774869831457
66.6,0.0279,101.0,312854,2016-11-24 06:20:00,0,65.80162607437755,0.02313895863935674
66.6,0.0269,101.0,312854,2016-11-24 06:25:00,0,65.92138216322091,0.023703114843453228
66.6,0.028999999999999998,107.0,312854,2016-11-24 06:30:00,0,66.02317483873777,0.024497647616935243
66.4,0.0327,121.0,312854,2016-11-24 06:35:00,0,66.0796986129271,0.025728000474394955
66.6,0.0324,125.0,312854,2016-11-24 06:40:00,0,66.15774382098803,0.02672880040323571
66.1,0.0321,118.0,312854,2016-11-24 06:45:00,0,66.14908224783983,0.027534480342750352
66.3,0.0308,113.0,312854,2016-11-24 06:50:00,0,66.17171991066385,0.0280243082913378
66.1,0.0288,106.0,312854,2016-11-24 06:55:00,0,66.16096192406428,0.02814066204763713
65.0,0.0329,119.0,312854,2016-11-24 07:00:00,0,65.98681763545463,0.028854562740491557
65.8,0.0308,121.0,312854,2016-11-24 07:05:00,0,65.95879499013644,0.029146378329417823
66.9,0.0326,129.0,312854,2016-11-24 07:10:00,0,66.09997574161598,0.029664421580005148
65.8,0.0319,120.0,312854,2016-11-24 07:15:00,0,66.05497938037358,0.029999758343004376
65.5,0.0392,151.0,312854,2016-11-24 07:20:00,0,65.97173247331754,0.03137979459155372
65.8,0.0398,155.0,312854,2016-11-24 07:25:00,0,65.94597260231991,0.03264282540282066
66.5,0.0409,165.0,312854,2016-11-24 07:30:00,0,66.02907671197192,0.03388140159239756
67.0,0.034,134.0,312854,2016-11-24 07:35:00,0,66.17471520517614,0.03389919135353793
67.9,0.0354,148.0,312854,2016-11-24 07:40:00,0,66.43350792439972,0.03412431265050724
66.4,0.039,150.0,312854,2016-11-24 07:45:00,0,66.42848173573975,0.034855665752931156
67.9,0.0402,167.0,312854,2016-11-24 07:50:00,0,66.64920947537878,0.03565731588999148
68.1,0.0401,170.0,312854,2016-11-24 07:55:00,0,66.86682805407196,0.036323718506492755
67.0,0.036000000000000004,145.0,312854,2016-11-24 08:00:00,0,66.88680384596117,0.03627516073051884
65.4,0.0397,151.0,312854,2016-11-24 08:05:00,0,66.663783269067,0.036788886620941014
64.3,0.0389,141.0,312854,2016-11-24 08:10:00,0,66.30921577870694,0.03710555362779986
64.7,0.0332,131.0,312854,2016-11-24 08:15:00,0,66.0678334119009,0.03651972058362988
64.4,0.0449,171.0,312854,2016-11-24 08:20:00,0,65.81765840011577,0.03777676249608539
64.1,0.0411,161.0,312854,2016-11-24 08:25:00,0,65.5600096400984,0.03827524812167258
64.2,0.0442,168.0,312854,2016-11-24 08:30:00,0,65.35600819408364,0.039163960903421696
64.3,0.0465,188.0,312854,2016-11-24 08:35:00,0,65.1976069649711,0.04026436676790844
64.5,0.0426,167.0,312854,2016-11-24 08:40:00,0,65.09296592022544,0.040614711752722174
65.5,0.0421,171.0,312854,2016-11-24 08:45:00,0,65.15402103219162,0.040837504989813846
64.4,0.0445,170.0,312854,2016-11-24 08:50:00,0,65.04091787736287,0.04138687924134177
62.9,0.0484,182.0,312854,2016-11-24 08:55:00,0,64.71978019575843,0.0424388473551405
63.6,0.0466,184.0,312854,2016-11-24 09:00:00,0,64.55181316639467,0.04306302025186943
65.2,0.0467,194.0,312854,2016-11-24 09:05:00,0,64.64904119143546,0.04360856721408901
65.9,0.043,174.0,312854,2016-11-24 09:10:00,0,64.83668501272014,0.04351728213197566
66.1,0.0462,187.0,312854,2016-11-24 09:15:00,0,65.0261822608121,0.04391968981217931
66.2,0.0418,170.0,312854,2016-11-24 09:20:00,0,65.2022549216903,0.04360173634035241
66.4,0.0524,220.0,312854,2016-11-24 09:25:00,0,65.38191668343674,0.044921475889299546
65.5,0.0492,198.0,312854,2016-11-24 09:30:00,0,65.39962918092122,0.045563254505904614
64.7,0.0535,209.0,312854,2016-11-24 09:35:00,0,65.29468480378304,0.04675376633001892
64.0,0.0616,244.0,312854,2016-11-24 09:40:00,0,65.10048208321558,0.04898070138051608
64.1,0.0532,214.0,312854,2016-11-24 09:45:00,0,64.95040977073324,0.04961359617343867
63.8,0.0534,208.0,312854,2016-11-24 09:50:00,0,64.77784830512326,0.05018155674742286
65.7,0.05,213.0,312854,2016-11-24 09:55:00,0,64.91617105935477,0.05015432323530943
65.4,0.0517,210.0,312854,2016-11-24 10:00:00,0,64.98874540045155,0.050386174750013016
64.6,0.0529,212.0,312854,2016-11-24 10:05:00,0,64.93043359038381,0.05076324853751106
65.6,0.053,225.0,312854,2016-11-24 10:10:00,0,65.03086855182625,0.0510987612568844
66.2,0.0571,241.0,312854,2016-11-24 10:15:00,0,65.2062382690523,0.051998947068351745
66.3,0.0586,250.0,312854,2016-11-24 10:20:00,0,65.37030252869445,0.05298910500809898
66.7,0.0514,218.0,312854,2016-11-24 10:25:00,0,65.56975714939028,0.05275073925688414
65.3,0.0634,261.0,312854,2016-11-24 10:30:00,0,65.52929357698174,0.05434812836835151
65.1,0.0599,249.0,312854,2016-11-24 10:35:00,0,65.46489954043447,0.05518090911309878
64.2,0.0629,254.0,312854,2016-11-24 10:40:00,0,65.2751646093693,0.05633877274613396
64.0,0.0645,263.0,312854,2016-11-24 10:45:00,0,65.0838899179639,0.05756295683421386
64.0,0.0676,277.0,312854,2016-11-24 10:50:00,0,64.92130643026931,0.05906851330908178
64.9,0.0674,287.0,312854,2016-11-24 10:55:00,0,64.91811046572892,0.06031823631271951
65.2,0.0644,272.0,312854,2016-11-24 11:00:00,0,64.96039389586957,0.06093050086581158
65.8,0.0594,254.0,312854,2016-11-24 11:05:00,0,65.08633481148914,0.06070092573593985
64.6,0.0671,278.0,312854,2016-11-24 11:10:00,0,65.01338458976576,0.061660786875548865
64.8,0.0686,289.0,312854,2016-11-24 11:15:00,0,64.9813769013009,0.06270166884421653
64.1,0.0648,264.0,312854,2016-11-24 11:20:00,0,64.84917036610577,0.06301641851758405
64.0,0.0649,271.0,312854,2016-11-24 11:25:00,0,64.7217948111899,0.06329895573994644
64.1,0.0685,286.0,312854,2016-11-24 11:30:00,0,64.62852558951141,0.06407911237895447
64.9,0.0689,298.0,312854,2016-11-24 11:35:00,0,64.6692467510847,0.06480224552211131
63.9,0.0675,277.0,312854,2016-11-24 11:40:00,0,64.55385973842199,0.06520690869379461
63.4,0.071,292.0,312854,2016-11-24 11:45:00,0,64.38078077765869,0.06607587238972541
62.9,0.0716,294.0,312854,2016-11-24 11:50:00,0,64.15866366100988,0.0669044915312666
62.7,0.0758,311.0,312854,2016-11-24 11:55:00,0,63.9398641118584,0.0682388178015766
63.3,0.0686,287.0,312854,2016-11-24 12:00:00,0,63.843884495079635,0.06829299513134011
63.6,0.0696,292.0,312854,2016-11-24 12:05:00,0,63.807301820817685,0.06848904586163909
63.2,0.0709,289.0,312854,2016-11-24 12:10:00,0,63.71620654769504,0.06885068898239323
63.1,0.0746,310.0,312854,2016-11-24 12:15:00,0,63.62377556554078,0.06971308563503424
64.3,0.0713,308.0,312854,2016-11-24 12:20:00,0,63.725209230709666,0.06995112278977911
64.0,0.0689,285.0,312854,2016-11-24 12:25:00,0,63.76642784610322,0.06979345437131224
63.1,0.0705,286.0,312854,2016-11-24 12:30:00,0,63.666463669187735,0.0698994362156154
63.0,0.0733,304.0,312854,2016-11-24 12:35:00,0,63.56649411880957,0.07040952078327309
61.4,0.0815,318.0,312854,2016-11-24 12:40:00,0,63.24152000098814,0.07207309266578213
62.4,0.0798,334.0,312854,2016-11-24 12:45:00,0,63.115292000839915,0.07323212876591481
62.9,0.0764,319.0,312854,2016-11-24 12:50:00,0,63.08299820071393,0.07370730945102759
62.2,0.0797,322.0,312854,2016-11-24 12:55:00,0,62.95054847060684,0.07460621303337345
63.3,0.0731,303.0,312854,2016-11-24 13:00:00,0,63.00296620001581,0.07438028107836743
63.5,0.0725,303.0,312854,2016-11-24 13:05:00,0,63.077521270013435,0.07409823891661231
63.2,0.0741,301.0,312854,2016-11-24 13:10:00,0,63.09589307951141,0.07409850307912046
62.3,0.0848,340.0,312854,2016-11-24 13:15:00,0,62.9765091175847,0.07570372761725239
62.8,0.0732,306.0,312854,2016-11-24 13:20:00,0,62.95003274994699,0.07532816847466453
63.1,0.0733,303.0,312854,2016-11-24 13:25:00,0,62.97252783745495,0.07502394320346485
62.4,0.0775,312.0,312854,2016-11-24 13:30:00,0,62.8866486618367,0.07539535172294512
62.9,0.0753,314.0,312854,2016-11-24 13:35:00,0,62.88865136256119,0.07538104896450334
62.8,0.0755,312.0,312854,2016-11-24 13:40:00,0,62.87535365817701,0.07539889161982784
62.3,0.0845,344.0,312854,2016-11-24 13:45:00,0,62.789050609450456,0.07676405787685367
62.3,0.0775,317.0,312854,2016-11-24 13:50:00,0,62.71569301803289,0.07687444919532561
62.1,0.0771,310.0,312854,2016-11-24 13:55:00,0,62.62333906532795,0.07690828181602678
63.0,0.0735,308.0,312854,2016-11-24 14:00:00,0,62.67983820552875,0.07639703954362276
63.2,0.0759,315.0,312854,2016-11-24 14:05:00,0,62.75786247469944,0.07632248361207933
56.1,0.0987,298.0,312854,2016-11-24 14:10:00,0,61.75918310349452,0.07967911107026743
43.6,0.2582,223.0,312854,2016-11-24 14:15:00,0,59.03530563797034,0.10645724440972731
37.1,0.3085,215.0,312854,2016-11-24 14:20:00,0,55.745009792274786,0.1367636577482682
34.6,0.4193,157.0,312854,2016-11-24 14:25:00,0,52.57325832343356,0.17914410908602796
28.0,0.3661,181.0,312854,2016-11-24 14:30:00,0,48.887269574918534,0.20718749272312376
25.0,0.3022,261.0,312854,2016-11-24 14:35:00,0,45.30417913868075,0.2214393688146552
26.6,0.2533,284.0,312854,2016-11-24 14:40:00,0,42.49855226787864,0.22621846349245692
34.2,0.1083,277.0,312854,2016-11-24 14:45:00,0,41.253769427696845,0.2085306939685884
48.2,0.0717,290.0,312854,2016-11-24 14:50:00,0,42.29570401354232,0.18800608987330011
54.8,0.0769,308.0,312854,2016-11-24 14:55:00,0,44.17134841151097,0.1713401763923051
56.7,0.0747,275.0,312854,2016-11-24 15:00:00,0,46.05064614978433,0.15684414993345933
58.2,0.0895,351.0,312854,2016-11-24 15:05:00,0,47.873049227316685,0.1467425274434404
57.6,0.0912,343.0,312854,2016-11-24 15:10:00,0,49.33209184321918,0.13841114832692436
60.3,0.0793,330.0,312854,2016-11-24 15:15:00,0,50.977278066736304,0.1295444760778857
62.5,0.0716,305.0,312854,2016-11-24 15:20:00,0,52.705686356725856,0.12085280466620284
63.1,0.0734,310.0,312854,2016-11-24 15:25:00,0,54.26483340321698,0.11373488396627242
64.3,0.0694,298.0,312854,2016-11-24 15:30:00,0,55.77010839273443,0.10708465137133155
65.1,0.0745,319.0,312854,2016-11-24 15:35:00,0,57.16959213382427,0.10219695366563182
64.3,0.073,302.0,312854,2016-11-24 15:40:00,0,58.23915331375062,0.09781741061578704
64.4,0.0779,327.0,312854,2016-11-24 15:45:00,0,59.16328031668803,0.09482979902341898
64.2,0.0676,285.0,312854,2016-11-24 15:50:00,0,59.91878826918483,0.09074532916990613
64.1,0.0793,333.0,312854,2016-11-24 15:55:00,0,60.545970028807105,0.0890285297944202
64.1,0.0671,279.0,312854,2016-11-24 16:00:00,0,61.07907452448603,0.08573925032525717
64.4,0.0719,306.0,312854,2016-11-24 16:05:00,0,61.57721334581312,0.0836633627764686
65.3,0.0599,256.0,312854,2016-11-24 16:10:00,0,62.13563134394116,0.0800988583599983
65.1,0.0654,274.0,312854,2016-11-24 16:15:00,0,62.58028664234998,0.07789402960599856
65.1,0.0645,270.0,312854,2016-11-24 16:20:00,0,62.958243645997484,0.07588492516509877
65.7,0.0658,285.0,312854,2016-11-24 16:25:00,0,63.36950709909786,0.07437218639033397
64.7,0.0636,261.0,312854,2016-11-24 16:30:00,0,63.56908103423318,0.07275635843178388
65.1,0.0591,246.0,312854,2016-11-24 16:35:00,0,63.7987188790982,0.07070790466701629
64.7,0.0628,258.0,312854,2016-11-24 16:40:00,0,63.93391104723347,0.06952171896696385
63.8,0.0602,246.0,312854,2016-11-24 16:45:00,0,63.91382439014845,0.06812346112191928
64.3,0.0611,254.0,312854,2016-11-24 16:50:00,0,63.97175073162617,0.06706994195363139
63.5,0.0658,264.0,312854,2016-11-24 16:55:00,0,63.90098812188224,0.06687945066058668
64.4,0.063,269.0,312854,2016-11-24 17:00:00,0,63.975839903599905,0.06629753306149867
64.4,0.062,258.0,312854,2016-11-24 17:05:00,0,64.03946391805992,0.06565290310227387
64.3,0.0616,255.0,312854,2016-11-24 17:10:00,0,64.07854433035094,0.0650449676369328
64.2,0.0669,281.0,312854,2016-11-24 17:15:00,0,64.09676268079829,0.06532322249139287
63.5,0.0662,266.0,312854,2016-11-24 17:20:00,0,64.00724827867855,0.06545473911768393
63.9,0.061,253.0,312854,2016-11-24 17:25:00,0,63.99116103687676,0.06478652825003134
63.2,0.0655,268.0,312854,2016-11-24 17:30:00,0,63.87248688134525,0.06489354901252664
62.5,0.0667,267.0,312854,2016-11-24 17:35:00,0,63.66661384914347,0.06516451666064764
62.6,0.0649,262.0,312854,2016-11-24 17:40:00,0,63.50662177177195,0.06512483916155049
62.8,0.0648,264.0,312854,2016-11-24 17:45:00,0,63.40062850600616,0.06507611328731791
61.9,0.0642,250.0,312854,2016-11-24 17:50:00,0,63.17553423010523,0.06494469629422021
61.6,0.0665,261.0,312854,2016-11-24 17:55:00,0,62.939204095589446,0.06517799185008719
62.3,0.0611,248.0,312854,2016-11-24 18:00:00,0,62.843323481251026,0.06456629307257411
63.5,0.0591,246.0,312854,2016-11-24 18:05:00,0,62.94182495906337,0.063746349111688
62.7,0.0652,259.0,312854,2016-11-24 18:10:00,0,62.905551215203865,0.0639643967449348
62.6,0.0575,228.0,312854,2016-11-24 18:15:00,0,62.85971853292328,0.06299473723319457
63.0,0.0644,265.0,312854,2016-11-24 18:20:00,0,62.880760752984784,0.06320552664821538
62.8,0.0604,243.0,312854,2016-11-24 18:25:00,0,62.86864664003707,0.06278469765098307
62.4,0.0641,255.0,312854,2016-11-24 18:30:00,0,62.79834964403151,0.06298199300333561
62.0,0.061,241.0,312854,2016-11-24 18:35:00,0,62.67859719742678,0.06268469405283526
62.6,0.0621,255.0,312854,2016-11-24 18:40:00,0,62.666807617812765,0.06259698994490998
62.3,0.0628,249.0,312854,2016-11-24 18:45:00,0,62.611786475140846,0.06262744145317348
63.6,0.061,253.0,312854,2016-11-24 18:50:00,0,62.760018503869716,0.062383325235197455
62.9,0.0656,262.0,312854,2016-11-24 18:55:00,0,62.78101572828926,0.06286582644991784
62.2,0.063,251.0,312854,2016-11-24 19:00:00,0,62.69386336904587,0.06288595248243016
62.7,0.0622,257.0,312854,2016-11-24 19:05:00,0,62.69478386368899,0.06278305961006564
63.1,0.06,246.0,312854,2016-11-24 19:10:00,0,62.75556628413564,0.062365600668555794
61.7,0.0754,295.0,312854,2016-11-24 19:15:00,0,62.5972313415153,0.06432076056827242
62.7,0.0637,260.0,312854,2016-11-24 19:20:00,0,62.612646640288006,0.06422764648303156
62.2,0.0642,260.0,312854,2016-11-24 19:25:00,0,62.5507496442448,0.06422349951057682
62.8,0.0625,256.0,312854,2016-11-24 19:30:00,0,62.588137197608084,0.0639649745839903
63.4,0.0603,251.0,312854,2016-11-24 19:35:00,0,62.70991661796687,0.06341522839639174
62.6,0.0664,266.0,312854,2016-11-24 19:40:00,0,62.69342912527184,0.06386294413693298
62.3,0.0711,284.0,312854,2016-11-24 19:45:00,0,62.634414756481064,0.06494850251639303
61.4,0.0736,289.0,312854,2016-11-24 19:50:00,0,62.4492525430089,0.06624622713893408
62.3,0.0647,264.0,312854,2016-11-24 19:55:00,0,62.426864661557566,0.06601429306809396
61.8,0.0686,272.0,312854,2016-11-24 20:00:00,0,62.33283496232393,0.06640214910787987
61.8,0.0644,256.0,312854,2016-11-24 20:05:00,0,62.25290971797534,0.06610182674169789
62.5,0.0531,212.0,312854,2016-11-24 20:10:00,0,62.28997326027904,0.0641515527304432
61.9,0.0638,255.0,312854,2016-11-24 20:15:00,0,62.23147727123718,0.06409881982087673
62.1,0.0635,258.0,312854,2016-11-24 20:20:00,0,62.211755680551605,0.06400899684774522
61.9,0.0629,251.0,312854,2016-11-24 20:25:00,0,62.16499232846887,0.06384264732058344
61.5,0.0752,303.0,312854,2016-11-24 20:30:00,0,62.06524347919854,0.06554625022249592
61.5,0.0717,286.0,312854,2016-11-24 20:35:00,0,61.980456957318765,0.06646931268912153
61.9,0.0585,234.0,312854,2016-11-24 20:40:00,0,61.968388413720945,0.0652739157857533
62.5,0.0607,249.0,312854,2016-11-24 20:45:00,0,62.048130151662804,0.0645878284178903
62.6,0.0632,254.0,312854,2016-11-24 20:50:00,0,62.130910628913384,0.06437965415520676
62.4,0.0648,261.0,312854,2016-11-24 20:55:00,0,62.17127403457638,0.06444270603192574
65.0,0.0622,257.0,312854,2016-11-24 21:00:00,0,62.59558292938992,0.06410630012713688
66.7,0.0583,244.0,312854,2016-11-24 21:05:00,0,63.21124548998144,0.06323535510806634
67.1,0.0625,252.0,312854,2016-11-24 21:10:00,0,63.79455866648422,0.06312505184185639
67.6,0.0531,217.0,312854,2016-11-24 21:15:00,0,64.36537486651159,0.06162129406557793
66.9,0.0669,268.0,312854,2016-11-24 21:20:00,0,64.74556863653484,0.06241309995574124
66.4,0.0641,254.0,312854,2016-11-24 21:25:00,0,64.99373334105462,0.06266613496238006
67.5,0.0561,230.0,312854,2016-11-24 21:30:00,0,65.36967333989642,0.06168121471802305
66.6,0.0682,275.0,312854,2016-11-24 21:35:00,0,65.55422233891196,0.0626590325103196
66.4,0.0598,237.0,312854,2016-11-24 21:40:00,0,65.68108898807516,0.06223017763377165
67.8,0.059000000000000004,245.0,312854,2016-11-24 21:45:00,0,65.99892563986388,0.06174565098870591
67.1,0.063,254.0,312854,2016-11-24 21:50:00,0,66.1640867938843,0.06193380334040002
67.5,0.0589,241.0,312854,2016-11-24 21:55:00,0,66.36447377480164,0.06147873283934002
67.2,0.0624,246.0,312854,2016-11-24 22:00:00,0,66.4898027085814,0.061616922913439016
67.2,0.0578,230.0,312854,2016-11-24 22:05:00,0,66.59633230229419,0.06104438447642316
67.9,0.0589,243.0,312854,2016-11-24 22:10:00,0,66.79188245695005,0.06072272680495969
67.4,0.0574,226.0,312854,2016-11-24 22:15:00,0,66.88310008840755,0.06022431778421573
68.2,0.0559,230.0,312854,2016-11-24 22:20:00,0,67.08063507514642,0.05957567011658338
68.4,0.0534,219.0,312854,2016-11-24 22:25:00,0,67.27853981387446,0.058649319599095875
68.0,0.051,206.0,312854,2016-11-24 22:30:00,0,67.3867588417933,0.05750192165923149
69.8,0.0481,201.0,312854,2016-11-24 22:35:00,0,67.74874501552429,0.056091633410346765
69.0,0.0499,202.0,312854,2016-11-24 22:40:00,0,67.93643326319564,0.05516288839879475
68.4,0.0516,206.0,312854,2016-11-24 22:45:00,0,68.00596827371629,0.05462845513897553
69.8,0.0434,183.0,312854,2016-11-24 22:50:00,0,68.27507303265884,0.052944186868129205
68.8,0.0506,198.0,312854,2016-11-24 22:55:00,0,68.35381207776001,0.05259255883790982
68.7,0.043,174.0,312854,2016-11-24 23:00:00,0,68.40574026609602,0.05115367501222334
68.3,0.0497,201.0,312854,2016-11-24 23:05:00,0,68.38987922618162,0.050935623760389834
68.6,0.0455,181.0,312854,2016-11-24 23:10:00,0,68.42139734225438,0.05012028019633136
68.9,0.0458,187.0,312854,2016-11-24 23:15:00,0,68.49318774091623,0.049472238166881656
69.7,0.0504,209.0,312854,2016-11-24 23:20:00,0,68.67420957977879,0.0496114024418494
68.9,0.0461,183.0,312854,2016-11-24 23:25:00,0,68.70807814281197,0.04908469207557199
67.4,0.0479,183.0,312854,2016-11-24 23:30:00,0,68.51186642139018,0.04890698826423619
69.0,0.0379,156.0,312854,2016-11-24 23:35:00,0,68.58508645818165,0.04725594002460076
69.2,0.0393,156.0,312854,2016-11-24 23:40:00,0,68.6773234894544,0.04606254902091064
69.1,0.0399,159.0,312854,2016-11-24 23:45:00,0,68.74072496603623,0.045138166667774045
67.8,0.0463,175.0,312854,2016-11-24 23:50:00,0,68.59961622113079,0.045312441667607936
68.0,0.0415,168.0,312854,2016-11-24 23:55:00,0,68.50967378796116,0.044740575417466746
68.8,0.0413,170.0,312854,2016-11-25 00:00:00,0,68.55322271976698,0.044224489104846734
70.0,0.0395,165.0,312854,2016-11-25 00:05:00,0,68.77023931180193,0.04351581573911972
68.6,0.0443,177.0,312854,2016-11-25 00:10:00,0,68.74470341503164,0.043633443378251764
65.8,0.0469,170.0,312854,2016-11-25 00:15:00,0,68.3029979027769,0.044123426871514
67.0,0.0408,160.0,312854,2016-11-25 00:20:00,0,68.10754821736036,0.0436249128407869
67.0,0.0424,162.0,312854,2016-11-25 00:25:00,0,67.9414159847563,0.04344117591466886
66.8,0.0367,140.0,312854,2016-11-25 00:30:00,0,67.77020358704286,0.04242999952746853
67.1,0.0433,173.0,312854,2016-11-25 00:35:00,0,67.66967304898643,0.04256049959834825
67.2,0.0388,151.0,312854,2016-11-25 00:40:00,0,67.59922209163847,0.04199642465859601
67.5,0.0407,159.0,312854,2016-11-25 00:45:00,0,67.5843387778927,0.04180196095980661
68.6,0.0368,150.0,312854,2016-11-25 00:50:00,0,67.73668796120879,0.041051666815835615
66.6,0.0389,142.0,312854,2016-11-25 00:55:00,0,67.56618476702747,0.040728916793460274
65.8,0.034,122.0,312854,2016-11-25 01:00:00,0,67.30125705197335,0.03971957927444123
66.1,0.0381,143.0,312854,2016-11-25 01:05:00,0,67.12106849417734,0.03947664238327504
64.6,0.0367,127.0,312854,2016-11-25 01:10:00,0,66.74290822005074,0.03906014602578379
65.9,0.0344,131.0,312854,2016-11-25 01:15:00,0,66.61647198704313,0.03836112412191622
66.4,0.0326,121.0,312854,2016-11-25 01:20:00,0,66.58400118898666,0.03749695550362878
66.5,0.0291,107.0,312854,2016-11-25 01:25:00,0,66.57140101063865,0.03623741217808447
