,incident_id,cc_code,timestamp,description,latitude,longitude,district,freeway_nmbr,freeway_direction,state_postmile,abs_postmile,duration,up_id,up_lanes,up_distance,up_latitude,up_longitude,down_id,down_lanes,down_distance,down_latitude,down_longitude,active_onramp,active_offramp
0,16175990,SAHB,2016-01-01 16:30:00,1179-Trfc Collision-1141 Enrt,38.280275,-121.456931,3.0,5,N,,497.1,70.0,317393,2,-1.6069999999999711,38.257363,-121.448669,319227,2,0.10099999999994223,38.281219,-121.457043,False,False
1,16177033,SAHB,2016-01-02 13:25:00,1183-Trfc Collision-Unkn Inj,39.31411,-120.447967,3.0,80,W,,170.6,60.0,317798,2,3.203000000000003,39.32545800000001,-120.392564,319430,2,-5.604999999999992,39.310097,-120.544,True,True
2,16177599,SAHB,2016-01-02 19:00:00,1182-Trfc Collision-No Inj,38.603209,-121.435469,3.0,51,S,,4.0,40.0,318540,4,0.19600000000000065,38.605475,-121.433198,314157,4,-0.27100000000000035,38.60075300000001,-121.438775,True,True
3,16182414,SAHB,2016-01-08 07:45:00,1179-Trfc Collision-1141 Enrt,38.343525,-121.335578,3.0,99,N,,281.8,45.0,317652,2,-0.7300000000000182,38.333162,-121.330741,317660,2,0.7299999999999613,38.352842,-121.340605,False,False
4,16183558,SAHB,2016-01-08 17:10:00,1182-Trfc Collision-No Inj,38.560374,-121.481408,3.0,50,E,,5.2,80.0,312139,5,-0.4770000000000003,38.562532,-121.48956,318282,4,0.12199999999999987,38.559773,-121.479137,True,False
5,16184027,SAHB,2016-01-08 21:35:00,1183-Trfc Collision-Unkn Inj,38.593428,-121.444756,3.0,51,N,,3.1,65.0,312865,4,-0.10000000000000007,38.591949,-121.445317,314147,2,0.3780000000000001,38.598455,-121.442291,False,True
6,16184778,SAHB,2016-01-09 11:10:00,1183-Trfc Collision-Unkn Inj,38.50143900000001,-121.517826,3.0,5,S,,512.9,50.0,314786,4,0.6030000000000655,38.509537,-121.522113,318599,4,-0.14699999999993452,38.499417,-121.517557,False,True
7,16186552,SAHB,2016-01-10 13:30:00,1179-Trfc Collision-1141 Enrt,38.524886,-121.467778,3.0,99,S,,296.4,85.0,312530,4,0.6450000000000387,38.533712,-121.472405,313144,3,-0.09199999999998454,38.523847,-121.467175,False,True
8,16188493,SAHB,2016-01-11 16:00:00,1183-Trfc Collision-Unkn Inj,38.610867,-121.265239,3.0,50,E,,18.5,35.0,314036,3,-0.23000000000000045,38.609583,-121.268647,313631,3,0.6700000000000017,38.615211,-121.25363,False,False
9,16188757,SAHB,2016-01-11 18:10:00,1179-Trfc Collision-1141 Enrt,38.544779,-121.47398,3.0,99,S,,297.8,60.0,312564,4,0.06499999999999773,38.545438,-121.473985,318859,4,-0.17000000000001592,38.542034,-121.473929,False,True
10,16188758,SAHB,2016-01-11 18:10:00,1179-Trfc Collision-1141Enrt,38.544779,-121.47398,3.0,99,S,,297.8,55.0,312564,4,0.06499999999999773,38.545438,-121.473985,318859,4,-0.17000000000001592,38.542034,-121.473929,False,True
11,16191013,SAHB,2016-01-12 20:15:00,1183-Trfc Collision-Unkn Inj,38.560374,-121.481408,3.0,50,E,,5.2,40.0,312139,5,-0.4770000000000003,38.562532,-121.48956,318282,4,0.12199999999999987,38.559773,-121.479137,True,False
12,16191786,SAHB,2016-01-13 08:40:00,1182-Trfc Collision-No Inj,38.490136,-121.514178,3.0,5,N,,512.1,45.0,314768,3,-0.027000000000043656,38.48997,-121.514094,314899,3,0.3349999999999227,38.494942,-121.516161,True,True
13,16193868,SAHB,2016-01-14 08:40:00,1182-Trfc Collision-No Inj,38.577035,-121.525016,3.0,50,E,2.5,2.5,40.0,313840,3,-0.18699999999999986,38.576694,-121.52808,311903,3,1.2799999999999998,38.566948,-121.506049,False,False
14,16196875,SAHB,2016-01-15 16:10:00,1179-Trfc Collision-1141Enrt,38.567371,-121.333211,3.0,50,E,R7.966,13.6,55.0,314668,4,-0.1120000000000001,38.566642,-121.334583,313765,4,0.30400000000000205,38.56984600000001,-121.328043,True,False
15,16201671,SAHB,2016-01-18 06:45:00,1183-Trfc Collision-Unkn Inj,38.59719000000001,-121.444247,3.0,51,S,3.3,3.3,50.0,312757,5,0.02000000000000001,38.596473,-121.443813,312857,3,-0.8999999999999999,38.585454,-121.451307,False,False
